group,name,source,source_px,web_px
projects/zero-irving,lobby,20250207_CTC_4159-HDR.jpg,8250x5500,2800x1867
projects/zero-irving,exterior-dusk,ZeroIrving_31_cubes.jpg,4480x7500,1673x2800
projects/zero-irving,exterior-day,ZeroIrving_22.jpg,4496x7938,1586x2800
projects/zero-irving,roof-terrace,20250207_CTC_4102-HDR.jpg,8250x5500,2800x1867
projects/zero-irving,clock-tower-view,20250207_CTC_4073-Edit.jpg,8256x5504,2800x1867
projects/zero-irving,lobby-art-wall,20250207_CTC_4153-HDR-Edit.jpg,8250x5500,2800x1867
projects/zero-irving,panorama,20250207_CTC_4114-HDR-Edit Panorama.jpg,15204x5266,2800x970
projects/zero-irving,civic-hall,20250207_CTC_4041-Edit.jpg,8257x5506,2800x1867
projects/zero-irving,food-hall-terrace,20250207_CTC_4180-HDR.jpg,5500x8250,1867x2800
projects/zero-irving,tenant-floor,20250207_CTC_3911-HDR-Edit.jpg,8250x5500,2800x1867
projects/zero-irving,lobby-reception,ZeroIrving_09.jpg,6720x4480,2800x1867
projects/quay-tower,aerial-park-context,Park Context_2.jpg,9369x5135,2800x1535
projects/quay-tower,exterior,190919_EJ_quay_tower-0477_HIGH RES.jpg,4480x6720,1867x2800
projects/quay-tower,exterior-aerial,190919_EJ_QUAY_TOWER-0032_HIGH RES.jpg,5696x8544,1867x2800
projects/quay-tower,terrace-dusk,190919_EJ_QUAY_TOWER-0593_HIGH RES.jpg,6720x4480,2800x1867
projects/quay-tower,living-harbor,190614_EJ_190614_QUAY_TOWER_3-0160_HIGH RES.jpg,6720x4480,2800x1867
projects/quay-tower,dining,190614_EJ_190614_QUAY_TOWER_3-0173_HIGH RES.jpg,6720x4480,2800x1867
projects/quay-tower,lobby,190919_EJ_quay_tower-0153_HIGH RES.jpg,6720x4480,2800x1867
projects/quay-tower,penthouse-living,190919_EJ_QUAY_TOWER-0583_HIGH RES.jpg,6720x4480,2800x1867
projects/quay-tower,kitchen,190614_EJ_190614_QUAY_TOWER_3-0018_HIGH RES.jpg,6720x4480,2800x1867
projects/quay-tower,bath,190919_EJ_quay_tower-0373_HIGH RES.jpg,6720x4480,2800x1867
projects/mandarin-oriental-grand-cayman,aerial,109 1B Residences – Exterior – scene from pool-1110.jpg,6000x3376,2800x1575
projects/mandarin-oriental-grand-cayman,ironshore,1B Hero over Ironshore.jpg,5000x3332,2800x1866
projects/mandarin-oriental-grand-cayman,facade-twilight,Facade at Twilight.jpg,4000x2243,2800x1570
projects/mandarin-oriental-grand-cayman,pool-deck,Amenity Pool Deck 01.jpg,5000x2633,2800x1474
projects/mandarin-oriental-grand-cayman,arrival,1B Arrival.jpg,3648x1851,2800x1421
projects/mandarin-oriental-grand-cayman,garden-house-pool,GardenHouse_PrivatePool_HighRes.jpg,6000x3376,2800x1575
projects/mandarin-oriental-grand-cayman,penthouse-great-room,Penthouse_GreatRoom_HighRes.jpg,6000x3376,2800x1575
projects/mandarin-oriental-grand-cayman,penthouse-roof,Penthouse_RoofDeck_HighRes.jpg,6000x3376,2800x1575
projects/mandarin-oriental-grand-cayman,ocean-house-lobby,OceanHouse Lobby_HighRes.jpg,3840x2160,2800x1575
projects/mandarin-oriental-grand-cayman,penthouse-dining,Penthouse_Dining_HighRes.jpg,6000x3375,2800x1575
projects/roan-steamboat,winter-mountain,BINYAN_RAL3492_RoanSteamboat_S010_Final3500.jpg,3500x2421,2800x1937
projects/roan-steamboat,exterior-summer,ROAN_EXTERIOR 1_UPDATED.jpg,5000x3050,2800x1708
projects/roan-steamboat,exterior-winter,ROAN_EXTERIOR 1_WINTER HERO SHOT.JPG,5000x3050,2800x1708
projects/roan-steamboat,exterior-gable,ROAN_EXTERIOR 4.jpg,5000x3573,2800x2001
projects/roan-steamboat,living-stair,BINYAN_RAL3492_RoanSteamboat_S020_Final3500.jpg,3500x1969,2800x1575
projects/roan-steamboat,kitchen,ROAN_INTERIOR KITCHEN 2.jpg,6000x4000,2800x1867
projects/roan-steamboat,terrace,ROAN_INTERIOR TERRACE 1.jpg,6000x3998,2800x1866
projects/roan-steamboat,living,ROAN_INTERIOR LIVING ROOM.jpg,6000x4000,2800x1867
projects/roan-steamboat,bath,ROAN_INTERIOR BATHROOM 1_V1.jpg,6000x4000,2800x1867
projects/roan-steamboat,steamboat-night,A7R09918-Edit-Edit.jpg,7771x5183,2800x1868
projects/the-landing,exterior,190919_EJ_quay_tower-0453_HIGH RES.jpg,6720x4480,2800x1867
projects/the-landing,lobby,LANDING_-113.jpg,6702x4468,2800x1867
projects/the-landing,roof-terrace,LANDING_-151.jpg,6720x4480,2800x1867
projects/the-landing,lounge,LANDING_-130.jpg,6703x4469,2800x1867
projects/the-landing,kitchen-lounge,LANDING_-120.jpg,6322x4287,2800x1899
projects/the-landing,reception,LANDING_-109.jpg,4480x6048,2074x2800
projects/the-landing,terrace-dining,LANDING_-148.jpg,6720x4480,2800x1867
projects/the-landing,residence,Print_07.jpg,6192x4128,2800x1867
projects/four-seasons-houston,bar,fsh_4s_head.jpg,2272x1262,2272x1262
projects/four-seasons-houston,lobby,fsh_4s1.jpg,3003x1964,2800x1831
projects/four-seasons-houston,pool,fsh_4s9.jpg,1996x983,1996x983
projects/four-seasons-houston,bar-detail,fsh_4s5.jpg,1996x983,1996x983
projects/four-seasons-houston,ballroom,fsh_houstonabstract.jpg,1996x983,1996x983
projects/casa-fiu,aerial,casa_Hero-2.jpg,5000x2811,2800x1574
projects/casa-fiu,tower,casa_Hero-1.jpg,4458x5555,2247x2800
projects/casa-fiu,dusk,casa_Dusk.jpg,5000x2523,2800x1413
projects/casa-fiu,amenity-deck,casa_Hero-with-pool.jpg,3768x2811,2800x2089
projects/casa-fiu,pool,casa_pool-image.jpg,5000x2811,2800x1574
projects/one-brooklyn-bridge-park,card,Obbp Hero.jpg,4368x2912,2800x1867
projects/monogram-new-york,card,fsh_monogram-exterior-sidewalk-scaled.jpg,2120x1414,2120x1414
